MovieID,genres,movie_title,imdb_score
36,Adventure.Animation.Comedy.Family.Fantasy,Monsters University ,7.3
37,Action.Adventure.Sci-Fi,Transformers: Revenge of the Fallen ,6
38,Action.Adventure.Sci-Fi,Transformers: Age of Extinction ,5.7
39,Adventure.Family.Fantasy,Oz the Great and Powerful ,6.4
40,Action.Adventure.Fantasy.Sci-Fi,The Amazing Spider-Man 2 ,6.7
41,Action.Adventure.Sci-Fi,TRON: Legacy ,6.8
42,Adventure.Animation.Comedy.Family.Sport,Cars 2 ,6.3
43,Action.Adventure.Sci-Fi,Green Lantern ,5.6
44,Adventure.Animation.Comedy.Family.Fantasy,Toy Story 3 ,8.3
45,Action.Adventure.Sci-Fi,Terminator Salvation ,6.6
46,Action.Crime.Thriller,Furious 7 ,7.2
47,Action.Adventure.Horror.Sci-Fi.Thriller,World War Z ,7
48,Action.Adventure.Fantasy.Sci-Fi.Thriller,X-Men: Days of Future Past ,8
49,Action.Adventure.Sci-Fi,Star Trek Into Darkness ,7.8
50,Adventure.Fantasy,Jack the Giant Slayer ,6.3
51,Drama.Romance,The Great Gatsby ,7.3
52,Action.Adventure.Fantasy.Romance,Prince of Persia: The Sands of Time ,6.6
53,Action.Adventure.Sci-Fi,Pacific Rim ,7
54,Action.Adventure.Sci-Fi,Transformers: Dark of the Moon ,6.3
55,Action.Adventure.Fantasy,Indiana Jones and the Kingdom of the Crystal Skull ,6.2
56,Adventure.Animation.Comedy.Family.Fantasy,The Good Dinosaur ,6.8
57,Adventure.Animation.Comedy.Family.Fantasy,Brave ,7.2
58,Action.Adventure.Sci-Fi.Thriller,Star Trek Beyond ,7.5
59,Adventure.Animation.Family.Sci-Fi,WALL·E ,8.4
60,Action.Comedy.Crime.Thriller,Rush Hour 3 ,6.2
61,Action.Adventure.Sci-Fi,2012 ,5.8
62,Animation.Drama.Family.Fantasy,A Christmas Carol ,6.8
63,Action.Adventure.Sci-Fi,Jupiter Ascending ,5.4
64,Action.Adventure.Drama.Romance,The Legend of Tarzan ,6.6
65,Adventure.Family.Fantasy,The Chronicles of Narnia: The Lion the Witch and the Wardrobe ,6.9
66,Action.Adventure.Sci-Fi,X-Men: Apocalypse ,7.3
67,Action.Crime.Drama.Thriller,The Dark Knight ,9
68,Adventure.Animation.Comedy.Family,Up ,8.3
69,Action.Adventure.Animation.Comedy.Family.Sci-Fi,Monsters vs. Aliens ,6.5
70,Action.Adventure.Sci-Fi,Iron Man ,7.9
71,Adventure.Drama.Family.Mystery,Hugo ,7.5
72,Action.Comedy.Sci-Fi.Western,Wild Wild West ,4.8
73,Action.Adventure.Fantasy.Horror.Thriller,The Mummy: Tomb of the Dragon Emperor ,5.2
74,Action.Adventure.Comedy.Sci-Fi,Suicide Squad ,6.9
75,Comedy.Family.Fantasy,Evan Almighty ,5.4
76,Action.Adventure.Sci-Fi,Edge of Tomorrow ,7.9
77,Action.Adventure.Sci-Fi.Thriller,Waterworld ,6.1
78,Action.Adventure.Sci-Fi.Thriller,G.I. Joe: The Rise of Cobra ,5.8
79,Adventure.Animation.Comedy.Drama.Family.Fantasy,Inside Out ,8.3
80,Adventure.Drama.Family.Fantasy,The Jungle Book ,7.8
81,Action.Adventure.Sci-Fi,Iron Man 2 ,7
82,Action.Adventure.Drama.Fantasy,Snow White and the Huntsman ,6.1
83,Action.Adventure.Family.Fantasy.Romance,Maleficent ,7
84,Action.Adventure.Drama.Sci-Fi,Dawn of the Planet of the Apes ,7.6
85,Action.Adventure.Romance.Sci-Fi,The Lovers ,4.5
86,Action.Adventure.Drama.Fantasy,47 Ronin ,6.3
87,Action.Adventure.Sci-Fi,Captain America: The Winter Soldier ,7.8
88,Adventure.Animation.Comedy.Family.Fantasy,Shrek Forever After ,6.4
89,Action.Adventure.Family.Mystery.Sci-Fi,Tomorrowland ,6.5
90,Action.Adventure.Animation.Comedy.Drama.Family.Sci-Fi,Big Hero 6 ,7.9
91,Adventure.Animation.Comedy.Family.Sci-Fi,Wreck-It Ralph ,7.8
92,Adventure.Animation.Family.Fantasy,The Polar Express ,6.6
93,Action.Adventure.Sci-Fi,Independence Day: Resurgence ,5.5
94,Adventure.Animation.Family.Fantasy,How to Train Your Dragon ,8.2
95,Action.Sci-Fi,Terminator 3: Rise of the Machines ,6.4
96,Action.Adventure.Sci-Fi,Guardians of the Galaxy ,8.1
97,Adventure.Drama.Sci-Fi,Interstellar ,8.6
98,Action.Adventure.Sci-Fi.Thriller,Inception ,8.8
99,Action.Adventure.Drama.Horror.Sci-Fi,Godzilla Resurgence ,8.2
100,Adventure.Fantasy,The Hobbit: An Unexpected Journey ,7.9
101,Action.Crime.Thriller,The Fast and the Furious ,6.7
102,Drama.Fantasy.Romance,The Curious Case of Benjamin Button ,7.8
103,Action.Adventure.Sci-Fi,X-Men: First Class ,7.8
104,Adventure.Sci-Fi,The Hunger Games: Mockingjay - Part 2 ,6.6
105,Action.Adventure.Family.Fantasy,The Sorcerer's Apprentice ,6.1
106,Action.Adventure.Drama.Thriller,Poseidon ,5.6
107,Adventure.Family.Fantasy,Alice Through the Looking Glass ,6.4
108,Adventure.Animation.Comedy.Family.Fantasy,Shrek the Third ,6.1
109,Action.Adventure.Fantasy,Warcraft ,7.3
110,Action.Adventure.Sci-Fi,Terminator Genisys ,6.6
111,Adventure.Family.Fantasy,The Chronicles of Narnia: The Voyage of the Dawn Treader ,6.3
112,Action.Drama.History.Romance.War,Pearl Harbor ,6.1
113,Action.Adventure.Sci-Fi,Transformers ,7.1
114,Action.Adventure.Biography.Drama.History.Romance.War,Alexander ,5.5
115,Adventure.Family.Fantasy.Mystery,Harry Potter and the Order of the Phoenix ,7.5
116,Adventure.Family.Fantasy.Mystery,Harry Potter and the Goblet of Fire ,7.6
117,Action.Drama,Hancock ,6.4
118,Drama.Horror.Sci-Fi,I Am Legend ,7.2
119,Adventure.Comedy.Family.Fantasy,Charlie and the Chocolate Factory ,6.7
120,Animation.Comedy.Family.Fantasy,Ratatouille ,8
121,Action.Adventure,Batman Begins ,8.3
122,Action.Adventure.Animation.Comedy.Family,Madagascar: Escape 2 Africa ,6.7
123,Adventure.Comedy.Family.Fantasy,Night at the Museum: Battle of the Smithsonian ,5.9
124,Action.Adventure.Fantasy.Sci-Fi.Thriller,X-Men Origins: Wolverine ,6.7
125,Action.Sci-Fi,The Matrix Revolutions ,6.7
126,Adventure.Animation.Comedy.Family.Fantasy.Musical,Frozen ,7.6
127,Action.Sci-Fi,The Matrix Reloaded ,7.2
128,Action.Adventure.Fantasy,Thor: The Dark World ,7.1
129,Action.Adventure.Sci-Fi.Thriller,Mad Max: Fury Road ,8.1
130,Mystery.Thriller,Angels & Demons ,6.7
131,Action.Adventure.Fantasy,Thor ,7
132,Adventure.Animation.Comedy.Drama.Family,Bolt ,6.9
133,Action.Adventure.Animation.Comedy.Family.Fantasy.Sci-Fi,G-Force ,5.1
134,Action.Adventure.Fantasy,Wrath of the Titans ,5.8
135,Comedy.Fantasy.Horror,Dark Shadows ,6.2
136,Action.Adventure.Thriller,Mission: Impossible - Rogue Nation ,7.4
137,Drama.Fantasy.Horror.Thriller,The Wolfman ,5.8
138,Action.Adventure.Drama.Romance,The Legend of Tarzan ,6.6
139,Adventure.Animation.Comedy.Family,Bee Movie ,6.2
140,Action.Adventure.Animation.Comedy.Family,Kung Fu Panda 2 ,7.3
141,Action.Adventure.Family.Fantasy,The Last Airbender ,4.2
142,Action.Adventure.Thriller,Mission: Impossible III ,6.9
143,Action.Drama.Thriller,White House Down ,6.4
144,Action.Adventure.Animation.Comedy.Family.Sci-Fi,Mars Needs Moms ,5.4
145,Adventure.Animation.Comedy.Family,Flushed Away ,6.7
146,Adventure.Family.Fantasy,Pan ,5.8
147,Adventure.Animation.Comedy.Family.Sci-Fi,Mr. Peabody & Sherman ,6.9
148,Adventure,Troy ,7.2
149,Adventure.Animation.Comedy.Family,Madagascar 3: Europe's Most Wanted ,6.9
150,Action.Adventure.Thriller,Die Another Day ,6.1
151,Action.Comedy.Fantasy.Sci-Fi,Ghostbusters ,5.5
152,Action.Adventure.Sci-Fi.Thriller,Armageddon ,6.6
153,Action.Adventure.Comedy.Family.Fantasy.Mystery.Sci-Fi,Men in Black II ,6.1
154,Action.Adventure.Animation.Fantasy,Beowulf ,6.3
155,Action.Adventure.Animation.Comedy.Family,Kung Fu Panda 3 ,7.2
156,Action.Adventure.Thriller,Mission: Impossible - Ghost Protocol ,7.4
157,Adventure.Animation.Family.Fantasy,Rise of the Guardians ,7.3
158,Comedy.Crime,Fun with Dick and Jane ,6.1
159,Action.Drama.History.War,The Last Samurai ,7.7
160,Action.Adventure.Drama,Exodus: Gods and Kings ,6.1
161,Action.Adventure.Sci-Fi,Star Trek ,8
162,Action.Adventure.Fantasy.Romance,Spider-Man ,7.3
163,Action.Adventure.Animation.Comedy.Family.Fantasy,How to Train Your Dragon 2 ,7.9
164,Action.Adventure.Fantasy,Gods of Egypt ,5.5
165,Action.Adventure.Sci-Fi.Thriller,Stealth ,5
166,Action.Drama.Mystery.Sci-Fi,Watchmen ,7.7
167,Action.Crime.Thriller,Lethal Weapon 4 ,6.6
168,Action.Sci-Fi,Hulk ,5.7
169,Action.Adventure.Sci-Fi.Thriller,G.I. Joe: Retaliation ,5.8
170,Action.Adventure.Comedy.Thriller,Sahara ,6
171,Action.Adventure.Animation.Fantasy.Romance.Sci-Fi,Final Fantasy: The Spirits Within ,6.4
172,Action.Adventure.Sci-Fi,Captain America: The First Avenger ,6.9
173,Action.Adventure.Thriller,The World Is Not Enough ,6.4
174,Action.Adventure.Drama.History.War,Master and Commander: The Far Side of the World ,7.4
175,Adventure.Drama.Fantasy.Romance,The Twilight Saga: Breaking Dawn - Part 2 ,5.5
176,Animation.Comedy.Family.Musical,Happy Feet 2 ,5.9
177,Action.Adventure.Sci-Fi,The Incredible Hulk ,6.8
178,Action.Crime.Drama.Mystery.Thriller,Miami Vice             ,7.5
179,Adventure.Family.Fantasy,The BFG ,6.8
180,Adventure.Drama.Thriller.Western,The Revenant ,8.1
181,Adventure.Animation.Comedy.Family.Sport,Turbo ,6.5
182,Adventure.Animation.Comedy.Family.Western,Rango ,7.2
183,Adventure.Animation.Comedy.Family,Penguins of Madagascar ,6.7
184,Action.Mystery.Thriller,The Bourne Ultimatum ,8.1
185,Action.Adventure.Animation.Comedy.Family,Kung Fu Panda ,7.6
186,Action.Adventure.Comedy.Sci-Fi,Ant-Man ,7.4
187,Adventure.Sci-Fi.Thriller,The Hunger Games: Catching Fire ,7.6
188,Adventure.Drama.Fantasy.Romance,The Twilight Saga: Breaking Dawn - Part 2 ,5.5
189,Adventure.Animation.Comedy.Family.Fantasy.Sci-Fi,Home ,6.7
190,Adventure.Sci-Fi.Thriller,War of the Worlds ,6.5
191,Action.Comedy.Crime.Thriller,Bad Boys II ,6.6
192,Action.Adventure.Animation.Comedy.Family.Fantasy,Puss in Boots ,6.7
193,Action.Crime.Mystery.Thriller,Salt ,6.4
194,Action.Adventure.Drama,Noah ,5.8
195,Action.Adventure.Family.Mystery,The Adventures of Tintin ,7.4
196,Adventure.Family.Fantasy.Mystery,Harry Potter and the Prisoner of Azkaban ,7.8
197,Adventure.Drama.Romance.War,Australia ,6.6
198,Action.Adventure.Sci-Fi,After Earth ,4.9
199,Adventure.Animation.Family.Thriller,Dinosaur ,6.5
200,Action.Fantasy,Harry Potter and the Deathly Hallows: Part II ,7.5
201,Adventure.Comedy.Family.Fantasy,Night at the Museum: Secret of the Tomb ,6.2
202,Action.Animation.Comedy.Family.Sci-Fi,Megamind ,7.3
203,Adventure.Family.Fantasy,Harry Potter and the Sorcerer's Stone ,7.5
204,Action.Comedy.Fantasy,R.I.P.D. ,5.6
205,Action.Adventure.Drama.Horror.Sci-Fi,Godzilla Resurgence ,8.2
206,Action.Adventure.Fantasy,Pirates of the Caribbean: The Curse of the Black Pearl ,8.1
207,Fantasy,Harry Potter and the Deathly Hallows: Part I ,6.4
208,Adventure.Sci-Fi.Thriller,The Hunger Games: Mockingjay - Part 1 ,6.7
209,Mystery.Thriller,The Da Vinci Code ,6.6
210,Adventure.Animation.Comedy.Family.Musical,Rio 2 ,6.4
211,Action.Adventure.Fantasy.Sci-Fi.Thriller,X-Men 2 ,7.5
212,Action.Crime.Thriller,Fast Five ,7.3
213,Action.Adventure.Crime.Mystery.Thriller,Sherlock Holmes: A Game of Shadows ,7.5
214,Action.Adventure.Fantasy,Clash of the Titans ,5.8
215,Action.Sci-Fi,Total Recall ,7.5
216,Action.Adventure.History,The 13th Warrior ,6.6
217,Action.Adventure.Thriller,The Bourne Legacy ,6.7
218,Action,Batman & Robin ,3.7
219,Comedy.Family.Fantasy,How the Grinch Stole Christmas ,6
220,Action.Adventure.Sci-Fi.Thriller,The Day After Tomorrow ,6.4
221,Action.Adventure.Thriller,Mission: Impossible II ,6.1
222,Action.Adventure.Drama.Thriller,The Perfect Storm ,6.4
223,Action.Adventure.Sci-Fi.Thriller,Fantastic 4: Rise of the Silver Surfer ,5.6
224,Adventure.Drama.Fantasy,Life of Pi ,8
225,Action.Fantasy.Thriller,Ghost Rider ,5.2
226,Action.Thriller,Jason Bourne ,7.15
227,Action.Adventure.Comedy.Crime,Charlie's Angels: Full Throttle ,4.8
228,Adventure.Mystery.Sci-Fi,Prometheus ,7
229,Adventure.Animation.Comedy.Family.Fantasy,Stuart Little 2 ,5.4
230,Action.Drama.Sci-Fi.Thriller,Elysium ,6.6
231,Action.Adventure.Sci-Fi.Thriller,The Chronicles of Riddick ,6.7
232,Action.Crime.Sci-Fi.Thriller,RoboCop ,6.2
233,Action.Family.Sport,Speed Racer ,6.1
234,Comedy.Drama.Romance,How Do You Know ,5.3
235,Action.Comedy.Romance,Knight and Day ,6.3
236,Action.Adventure.Mystery.Sci-Fi,Oblivion ,7
237,Action.Adventure.Fantasy.Sci-Fi,Star Wars: Episode III - Revenge of the Sith ,7.6
238,Action.Adventure.Fantasy.Sci-Fi,Star Wars: Episode II - Attack of the Clones ,6.7
239,Adventure.Animation.Comedy.Family.Fantasy,Monsters Inc. ,8.1
240,Action.Adventure.Sci-Fi.Thriller,The Wolverine ,6.7
241,Action.Adventure.Fantasy.Sci-Fi,Star Wars: Episode I - The Phantom Menace ,6.5
242,Adventure.Animation.Comedy.Family.Fantasy,The Croods ,7.3
243,Adventure.Comedy.Family.Fantasy,Asterix at the Olympic Games ,5.1
244,Action.Drama.War,Windtalkers ,6
245,Action.Adventure.Drama.Fantasy,The Huntsman: Winter's War ,6.1
246,Action.Adventure.Comedy.Sci-Fi,Teenage Mutant Ninja Turtles ,5.9
247,Adventure.Drama.Sci-Fi.Thriller,Gravity ,7.8
248,Action.Adventure.Thriller,Dante's Peak ,5.8
249,Action.Adventure.Comedy.Sci-Fi,Teenage Mutant Ninja Turtles: Out of the Shadows ,6.3
250,Action.Adventure.Sci-Fi,Fantastic Four ,4.3
251,Action.Adventure.Comedy.Family.Fantasy,Night at the Museum ,6.4
252,Action.Adventure.Drama.Thriller,San Andreas ,6.1
253,Action.Adventure.Thriller,Tomorrow Never Dies ,6.5
254,Action.Drama.History.War,The Patriot ,7.1
255,Crime.Thriller,Ocean's Twelve ,6.4
256,Action.Comedy.Crime.Romance.Thriller,Mr. & Mrs. Smith ,6.5
257,Adventure.Sci-Fi.Thriller,Insurgent ,6.3
258,Biography.Drama,The Aviator ,7.5
259,Adventure.Comedy.Family.Fantasy,Gulliver's Travels ,4.9
260,Action.Comedy.Crime.Sci-Fi.Thriller,The Green Hornet ,5.8
261,Action.Adventure.Crime,The A-Team             ,7.6
262,Action.Drama.Fantasy.War,300: Rise of an Empire ,6.2
263,Adventure.Animation.Comedy.Family.Fantasy,The Smurfs ,5.5
264,Animation.Comedy.Family.Music.Western,Home on the Range ,5.4
265,Action.Adventure.Mystery.Sci-Fi.Thriller,Allegiant ,5.8
266,Action.Drama.Sci-Fi.Sport,Real Steel ,7.1
267,Adventure.Animation.Comedy.Family.Fantasy,The Smurfs 2 ,5.4
268,Action.Crime.Romance.Thriller,Speed 2: Cruise Control ,3.7
269,Action.Sci-Fi,Ender's Game ,6.7
270,Action.Adventure.Thriller,Live Free or Die Hard ,7.2
271,Action.Adventure.Drama.Fantasy,The Lord of the Rings: The Fellowship of the Ring ,8.8
272,Action.Adventure.Comedy,Around the World in 80 Days ,5.8
273,Biography.Drama.Sport,Ali ,6.8
274,Adventure.Comedy.Family.Fantasy,The Cat in the Hat ,3.8
275,Action.Mystery.Sci-Fi.Thriller,I Robot ,7.1
276,Action.Adventure.Drama.History.War,Kingdom of Heaven ,7.2
277,Adventure.Comedy.Family.Fantasy,Stuart Little ,5.9
278,Animation.Family.Fantasy.Musical.Romance,The Princess and the Frog ,7.1
279,Adventure.Drama.Sci-Fi,The Martian ,8.1
280,Comedy,10000 B.C.             ,7.2
281,Action.Adventure.Romance.Sci-Fi.Thriller,The Island ,6.9
282,Comedy.Romance,Town & Country ,4.4
283,Action.Crime.Thriller,Gone in Sixty Seconds ,6.5
284,Action.Drama.Romance,Gladiator ,8.5
285,Action.Mystery.Sci-Fi.Thriller,Minority Report ,7.7
286,Adventure.Family.Fantasy.Mystery,Harry Potter and the Chamber of Secrets ,7.4
287,Action.Adventure.Thriller,Casino Royale ,8
288,Action.Adventure.Sci-Fi.Thriller,Planet of the Apes ,5.7
289,Action.Sci-Fi,Terminator 2: Judgment Day ,8.5
290,Biography.Crime.Drama.History.Romance,Public Enemies ,7
291,Biography.Crime.Drama,American Gangster ,7.8
292,Action.Comedy.Thriller,True Lies ,7.2
293,Action.Crime.Thriller,The Taking of Pelham 1 2 3 ,6.4
294,Comedy.Romance,Little Fockers ,5.5
295,Action.Comedy.Crime,The Other Guys ,6.7
296,Action.Drama.Mystery.Thriller,Eraser ,6.1
297,Drama.Western,Django Unchained ,8.5
298,Animation.Drama.Family.Musical.Romance,The Hunchback of Notre Dame ,6.9
299,Adventure.Animation.Comedy.Family.Fantasy,The Emperor's New Groove ,7.3
300,Action.Adventure.Thriller,The Expendables 2 ,6.7
301,Action.Adventure.Comedy.Family.Mystery,National Treasure ,6.9
302,Action.Adventure.Family.Fantasy,Eragon ,5.1
303,Adventure.Drama.Family.Fantasy,Where the Wild Things Are ,6.8
304,Adventure.Family.Fantasy,Pan ,5.8
305,Adventure.Animation.Family.Fantasy,Epic ,6.7
306,Action.Romance.Thriller,The Tourist ,6
307,Action.Fantasy.Horror.Mystery,End of Days ,5.7
308,Adventure.Drama.Thriller,Blood Diamond ,8
309,Biography.Comedy.Crime.Drama,The Wolf of Wall Street ,8.2
310,Action.Adventure.Fantasy,Batman Forever ,5.4
311,Action.Sci-Fi.War,Starship Troopers ,7.2
312,Drama.Sci-Fi,Cloud Atlas ,7.5
313,Action.Adventure.Animation.Family.Fantasy,Legend of the Guardians: The Owls of Ga'Hoole ,7
314,Action.Crime.Fantasy.Romance.Thriller,Catwoman ,3.3
315,Action.Adventure,Hercules ,6
316,Adventure.Animation.Family.Sci-Fi,Treasure Planet ,7.1
317,Adventure.Comedy.Sci-Fi,Land of the Lost ,5.4
318,Action.Adventure.Thriller,The Expendables 3 ,6.1
319,Action.Crime.Sport.Thriller,Point Break ,5.3
320,Comedy.Family.Fantasy,Son of the Mask ,2.2
321,Action.Adventure.Biography.Drama.History.Thriller,In the Heart of the Sea ,7
322,Action.Comedy.Sci-Fi,The Adventures of Pluto Nash ,3.8
323,Action.Drama.Thriller.War,Green Zone ,6.9
324,Adventure.Animation.Comedy.Family,The Peanuts Movie ,7.2
325,Drama.Mystery.Thriller,The Spanish Prisoner ,7.3
326,Action.Adventure.Fantasy.Thriller,The Mummy Returns ,6.3
327,Crime.Drama,Gangs of New York ,7.5
328,Drama.History.Romance.War,The Flowers of War ,7.6
329,Animation.Comedy.Family.Sport,Surf's Up ,6.8
330,Comedy.Sci-Fi.Thriller,The Stepford Wives ,5.2
331,Drama.History.War,Black Hawk Down ,7.7
332,Comedy,The Campaign ,6.2
333,Action.Adventure.Sci-Fi,The Fifth Element ,7.7
334,Comedy.Drama.Romance,Sex and the City 2 ,4.3
335,Adventure.Animation.Comedy.Family.Romance,The Road to El Dorado ,6.9
336,Adventure.Animation.Comedy.Family,Ice Age: Continental Drift ,6.6
337,Drama.Family.Fantasy.Romance,Cinderella ,7
338,Drama.Fantasy.Thriller,The Lovely Bones ,6.7
339,Adventure.Animation.Comedy.Family,Finding Nemo ,8.2
340,Action.Adventure.Drama.Fantasy,The Lord of the Rings: The Return of the King ,8.9
341,Action.Adventure.Drama.Fantasy,The Lord of the Rings: The Two Towers ,8.7
342,Action.Adventure.Fantasy,Seventh Son ,5.5
343,Action.Adventure.Fantasy.Thriller,Lara Croft: Tomb Raider ,5.7
344,Drama.Mystery.Romance.Sci-Fi.Thriller,Transcendence ,6.3
345,Action.Adventure.Sci-Fi.Thriller,Jurassic Park III ,5.9
346,Action.Drama.Sci-Fi.Thriller,Rise of the Planet of the Apes ,7.6
347,Adventure.Family.Fantasy,The Spiderwick Chronicles ,6.6
348,Action.Thriller,A Good Day to Die Hard ,5.3
349,Drama.History.War.Western,The Alamo ,6
350,Action.Adventure.Animation.Family,The Incredibles ,8
351,Action.Adventure.Comedy,Cutthroat Island ,5.6
352,Adventure.Family.Fantasy,Percy Jackson & the Olympians: The Lightning Thief ,5.9
353,Adventure.Comedy.Family.Mystery.Sci-Fi,Men in Black ,7.3
354,Adventure.Animation.Comedy.Family.Fantasy,Toy Story 2 ,7.9
355,Action.Thriller,Unstoppable ,6.8
356,Action.Comedy.Crime.Thriller,Rush Hour 2 ,6.6
357,Drama.Fantasy.Horror.Mystery.Thriller,What Lies Beneath ,6.6
358,Animation.Comedy.Family.Sci-Fi,Cloudy with a Chance of Meatballs ,7
359,Action.Adventure.Animation.Comedy.Family,Ice Age: Dawn of the Dinosaurs ,7
360,Adventure.Comedy.Drama.Fantasy.Romance,The Secret Life of Walter Mitty ,7.3
361,Action.Adventure.Comedy.Crime.Thriller,Charlie's Angels ,5.5
362,Crime.Drama.Thriller,The Departed ,8.5
363,Adventure.Animation.Family.Fantasy.Musical.War,Mulan ,7.5
364,Action.Comedy,Tropic Thunder ,7
365,Crime.Drama.Mystery.Thriller,The Girl with the Dragon Tattoo ,7.8
366,Action.Adventure.Thriller,Die Hard with a Vengeance ,7.6
367,Action.Adventure.Crime.Mystery.Thriller,Sherlock Holmes ,7.6
368,Adventure.Drama.History,Ben-Hur ,6.1
369,Action.Adventure.Animation.Family.Fantasy.Sci-Fi,Atlantis: The Lost Empire ,6.8
370,Adventure.Animation.Comedy.Family.Fantasy.Music,Alvin and the Chipmunks: The Road Chip ,5
371,Drama.History.Thriller.War,Valkyrie ,7.1
372,Action.Comedy,You Don't Mess with the Zohan ,5.5
373,Action.Animation.Comedy.Sci-Fi,Pixels ,5.6
374,Adventure.Drama.Sci-Fi,A.I. Artificial Intelligence ,7.1
375,Comedy.Family.Fantasy.Horror.Mystery,The Haunted Mansion ,4.9
376,Drama.Mystery.Sci-Fi.Thriller,Contact ,7.4
377,Action.Horror.Sci-Fi.Thriller,Hollow Man ,5.7
378,Crime.Mystery.Thriller,The Interpreter ,6.4
379,Adventure.Family.Fantasy,Percy Jackson: Sea of Monsters ,5.9
380,Action.Adventure.Fantasy,Lara Croft Tomb Raider: The Cradle of Life ,5.5
381,Action.Adventure.Comedy.Crime.Mystery.Thriller,Now You See Me 2 ,6.9
382,Action.Adventure.Romance.Sci-Fi.Thriller,The Saint ,6.2
383,Action.Crime.Thriller,Spy Game ,7
384,Adventure.Sci-Fi.Thriller,Mission to Mars ,5.6
385,Adventure.Animation.Comedy.Family.Musical,Rio ,7
386,Comedy.Drama.Sci-Fi,Bicentennial Man ,6.8
387,Action.Drama.Sci-Fi.Thriller,Volcano ,5.4
388,Action.Crime.Drama.Thriller,The Devil's Own ,6.1
389,Drama.History.Thriller.War,K-19: The Widowmaker ,6.7
390,Action.Adventure.Sci-Fi,Fantastic Four ,4.3
391,Adventure.Fantasy,Conan the Barbarian ,6.9
392,Biography.Drama.Sport,Cinderella Man ,8
393,Action.Family.Fantasy.Musical,The Nutcracker in 3D ,4.4
394,Drama.History.Sport,Seabiscuit ,7.3
395,Action.Adventure.Drama.Thriller,Twister ,6.3
396,Action.Crime.Thriller,The Fast and the Furious ,6.7
397,Adventure.Drama.Romance,Cast Away ,7.7
398,Animation.Comedy.Family.Music.Romance,Happy Feet ,6.5
399,Action.Mystery.Thriller,The Bourne Supremacy ,7.8
400,Action.Adventure.Drama.Thriller,Air Force One ,6.4
401,Crime.Thriller,Ocean's Eleven ,7.8
402,Action.Adventure.Romance,The Three Musketeers ,5.8
403,Animation.Comedy.Family.Fantasy,Hotel Transylvania ,7.1
404,Animation.Comedy.Family.Fantasy.Musical.Romance,Enchanted ,7.1
405,Crime.Drama.Horror.Mystery.Thriller,Hannibal             ,8.6
406,Action.Crime.Mystery.Thriller,Safe House ,6.8
407,Adventure.Comedy.Family,102 Dalmatians ,4.8
408,Action.Comedy.Crime,Tower Heist ,6.2
409,Comedy.Romance,The Holiday ,6.9
410,Action.Crime.Drama.Mystery.Thriller,Enemy of the State ,7.3
411,Comedy.Drama.Romance,It's Complicated ,6.6
412,Crime.Thriller,Ocean's Thirteen ,6.9
413,Adventure.Animation.Comedy.Family,Open Season ,6.2
414,Adventure.Mystery.Sci-Fi,Divergent ,6.7
